candidate	count	files	forms	first_source
stanford	2	2	"{""Stanford"": 2}"	docs/en/preface.md:9
stanford university	2	2	"{""Stanford University"": 2}"	docs/en/preface.md:9
series	2	2	"{""series"": 2}"	docs/en/preface.md:9
draft	2	1	"{""draft"": 1, ""drafts"": 1}"	docs/en/preface.md:9
scratch	2	1	"{""scratch"": 2}"	docs/en/preface.md:9
software design class	2	2	"{""software design class"": 2}"	docs/en/preface.md:11
design class	2	2	"{""design class"": 2}"	docs/en/preface.md:11
define	2	2	"{""Define"": 2}"	docs/en/preface.md:11
abstract	2	2	"{""abstract"": 2}"	docs/en/preface.md:11
answer	2	2	"{""answers"": 1, ""answer"": 1}"	docs/en/preface.md:13
storage system	2	2	"{""storage systems"": 2}"	docs/en/preface.md:13
scripting language	2	2	"{""scripting language"": 2}"	docs/en/preface.md:13
other people	2	1	"{""other people"": 2}"	docs/en/preface.md:13
thread	2	2	"{""threads"": 2}"	docs/en/preface.md:15
coding	2	2	"{""coding"": 2}"	docs/en/preface.md:15
long run	2	2	"{""long run"": 2}"	docs/en/preface.md:17
run	2	2	"{""run"": 2}"	docs/en/preface.md:17
opinion	2	2	"{""opinion"": 2}"	docs/en/preface.md:17
understanding	2	2	"{""understanding"": 2}"	docs/en/preface.md:17
future edition	2	1	"{""future editions"": 2}"	docs/en/preface.md:17
edition	2	1	"{""editions"": 2}"	docs/en/preface.md:17
email address	2	1	"{""email address"": 2}"	docs/en/preface.md:23
google	2	1	"{""Google"": 2}"	docs/en/preface.md:23
google group	2	1	"{""Google Group"": 2}"	docs/en/preface.md:23
page	2	2	"{""page"": 2}"	docs/en/preface.md:25
overall goal	2	2	"{""overall goal"": 1, ""overall goals"": 1}"	docs/en/preface.md:27
i'd	2	2	"{""I'd"": 2}"	docs/en/preface.md:27
